match_id,t1,t2,t1_ban1,t1_ban2,t2_ban1,t2_ban2,t1_pick,t2_pick,remaining,winner,t1_mapwins,t2_mapwins,net_h2h,t1_past,t2_past,best_odds,worst_odds,date
156888,918,8369,0,3,7,4,5,1,2,False,0,2,3,6,-2,0.0,1.0,2022-11-13
184039,1184,2304,3,7,4,6,5,8,0,False,0,2,-2,4,0,0.47916666666666663,0.46808510638297873,2023-04-20
337408,120,6961,6,2,8,9,1,5,0,True,2,0,-2,3,-1,0.5208333333333334,0.4366812227074236,2024-05-08
232897,7269,367,6,7,1,3,8,0,4,False,0,2,-3,-7,0,0.3377483443708609,0.2592592592592593,2023-07-05
240405,9547,12129,4,1,8,0,7,6,3,False,1,2,3,7,2,0.7844827586206896,0.7844827586206896,2023-07-26
280309,294,104,2,1,8,4,6,9,0,True,2,1,-2,0,2,0.425531914893617,0.425531914893617,2023-10-21
50147,4616,6312,8,2,3,1,0,4,5,True,2,0,-1,1,2,0.36363636363636365,0.36363636363636365,2021-11-20
191771,1120,5443,3,7,4,0,8,6,5,True,2,0,7,8,0,0.8403361344537815,0.8403361344537815,2023-04-14
222532,11981,12011,7,1,3,8,4,6,0,True,2,0,1,-2,-1,0.0,1.0,2023-06-08
165138,11451,5038,5,3,7,1,2,4,0,True,2,1,,3,2,0.0,1.0,2023-01-10
184045,1184,2593,3,0,7,8,6,5,4,False,0,2,,3,8,0.1071428571428572,0.0990990990990992,2023-04-28
319782,1120,14137,5,8,6,2,9,0,1,True,2,0,,1,-2,0.9615384615384615,0.8403361344537815,2024-04-21
106918,2032,1110,2,5,1,8,3,4,0,True,2,1,3,6,2,0.6289308176100629,0.6289308176100629,2022-06-24
67361,106,6461,4,1,2,8,3,5,0,False,0,2,,6,5,0.576271186440678,0.576271186440678,2022-01-30
89217,8124,8741,2,1,3,8,5,4,0,True,2,0,,4,-2,0.8064516129032259,0.8064516129032259,2022-05-14
327203,15073,14547,0,5,2,1,6,8,9,True,2,0,,-7,5,0.0,1.0,2024-05-05
71636,8088,8182,8,0,3,2,1,5,4,False,1,2,,-5,8,0.019607843137254943,0.019607843137254943,2022-03-11
317064,14805,14809,5,0,9,1,2,6,8,True,2,1,0,8,2,0.8333333333333334,0.819672131147541,2024-03-27
191769,1837,1211,5,6,8,7,0,4,3,True,2,1,0,6,1,0.8130081300813008,0.8130081300813008,2023-04-13
283133,4330,466,9,4,2,0,6,8,1,True,2,0,-1,1,4,0.35714285714285715,0.25,2023-11-05
165591,4572,5310,6,4,5,8,7,3,0,True,2,1,0,1,-3,0.5291005291005292,0.5291005291005292,2023-03-01
159488,6094,908,4,0,1,3,7,5,2,False,1,2,-1,-1,-1,0.4285714285714286,0.4285714285714286,2022-12-15
274401,731,1837,9,2,4,0,8,1,6,False,0,2,2,0,9,0.5370370370370371,0.5,2023-09-23
275684,13586,13368,8,0,9,2,1,4,6,True,2,1,,-1,-1,0.0,1.0,2023-09-25
281026,2355,2359,4,1,9,8,6,2,0,False,0,2,-2,-2,0,0.13043478260869557,0.04761904761904767,2023-11-10
167046,581,6946,8,0,5,3,4,6,7,True,2,0,-3,-6,-3,0.30864197530864196,0.30864197530864196,2023-02-21
212533,337,106,4,0,1,3,7,8,6,True,2,1,-7,-1,-4,0.6289308176100629,0.4672897196261682,2023-06-03
98851,8925,8422,3,2,5,1,4,0,8,False,0,2,,-2,5,0.35064935064935066,0.35064935064935066,2022-05-14
167638,282,104,0,2,1,5,4,3,7,True,2,1,-7,7,6,0.6134969325153374,0.6134969325153374,2023-01-28
341317,7403,14523,9,8,0,1,5,2,6,False,0,2,,-4,3,0.31034482758620685,0.31034482758620685,2024-05-05
168990,9353,10725,3,5,2,7,4,1,0,False,1,2,1,8,1,0.658703071672355,0.658703071672355,2023-02-08
99595,8903,628,2,8,0,5,4,1,3,False,0,2,1,-4,7,0.19354838709677413,0.19354838709677413,2022-06-04
298833,11328,11981,1,5,6,8,2,0,9,True,2,0,4,3,8,0.6802721088435374,0.6329113924050632,2024-03-01
300489,4094,15077,1,5,2,8,9,0,6,True,2,1,-2,-2,-1,0.2188183807439825,0.20833333333333334,2024-03-29
103100,799,8369,8,1,5,4,2,3,0,True,2,0,3,6,1,0.8130081300813008,0.8130081300813008,2022-05-31
299527,6530,9314,5,1,0,6,2,8,9,False,1,2,1,3,8,0.6655518394648829,0.6062992125984252,2024-02-27
193560,6946,581,8,3,5,4,6,0,7,True,2,1,1,-6,-4,0.5494505494505494,0.48780487804878053,2023-04-26
341857,13797,15617,2,5,8,6,1,0,9,True,2,0,,-5,4,0.0,1.0,2024-05-04
79074,257,474,1,3,2,0,8,5,4,False,1,2,0,4,1,0.5169082125603864,0.5169082125603864,2022-03-22
71635,8075,8185,5,1,3,4,8,0,2,False,0,2,,-5,6,0.09090909090909094,0.09090909090909094,2022-03-10
189382,11490,8147,0,8,3,4,5,6,7,False,0,2,,6,1,0.0,1.0,2023-03-29
309138,11348,12446,9,8,2,6,1,5,0,False,1,2,0,2,-4,0.7601918465227817,0.7109826589595376,2024-03-14
108472,2304,4616,4,2,0,3,8,5,1,False,0,2,-4,5,1,0.5215311004784688,0.5215311004784688,2022-07-02
232898,11001,367,6,3,1,8,7,4,0,True,2,0,2,2,-1,0.9523809523809523,0.9433962264150942,2023-07-08
103217,2032,1110,2,4,1,3,0,5,8,True,2,1,-1,9,9,0.5813953488372093,0.5813953488372093,2022-05-28
184035,2359,6961,3,1,7,8,4,0,6,False,0,2,-2,0,3,0.28057553956834524,0.24812030075187974,2023-05-19
286642,2,624,1,0,6,8,2,9,4,True,2,1,,7,2,0.4694835680751174,0.37037037037037035,2023-12-05
184459,6199,8304,4,8,7,6,0,5,3,True,2,1,,1,2,0.4081632653061224,0.3846153846153846,2023-03-26
50287,6512,4036,5,3,2,8,0,4,1,False,0,2,,-8,-2,0.14529914529914523,0.13043478260869557,2021-11-22
344447,13224,10417,2,5,8,9,1,0,6,True,2,1,2,3,2,0.6060606060606061,0.591715976331361,2024-05-16
294077,8946,12474,5,2,9,0,8,6,1,False,0,2,-2,4,9,0.32885906040268453,0.32432432432432434,2024-04-06
184476,8304,918,7,6,3,0,5,8,4,False,0,2,,-4,-7,0.5670995670995671,0.5348837209302326,2023-04-17
99592,3531,257,3,2,0,4,8,5,1,True,2,1,3,-2,-5,0.591715976331361,0.591715976331361,2022-06-03
69003,6460,628,1,2,8,5,4,3,0,True,2,1,,2,7,0.5681818181818182,0.47619047619047616,2022-03-13
193269,11480,12373,0,4,6,8,7,5,3,False,0,2,,-7,3,0.21259842519685046,0.12280701754385959,2023-04-21
285172,1033,13368,8,0,9,4,2,1,6,True,2,0,1,2,2,0.0,1.0,2023-11-18
108235,2406,4894,4,0,3,1,2,5,8,False,1,2,-4,2,0,0.5327102803738317,0.5327102803738317,2022-06-21
184372,10735,4894,3,7,6,8,0,4,5,False,0,2,-2,-3,3,0.37106918238993714,0.32885906040268453,2023-03-17
324717,8369,8484,5,1,8,2,6,0,9,True,2,1,1,-2,-4,0.8547008547008548,0.8474576271186441,2024-04-18
319770,11328,13790,9,2,8,1,0,6,5,True,2,0,,-3,-3,0.7575757575757576,0.7407407407407407,2024-04-07
299771,13977,14711,0,1,6,5,9,2,8,False,1,2,,0,-2,0.5073891625615763,0.44134078212290506,2024-03-02
64798,1919,6387,3,0,2,8,5,4,1,False,0,2,-6,3,10,0.24812030075187974,0.22480620155038766,2022-02-18
167841,6665,4210,1,2,7,5,3,4,0,False,0,2,-6,6,10,0.09090909090909094,0.09090909090909094,2023-02-17
312765,8877,11328,2,0,8,1,6,5,9,True,2,0,1,9,1,0.8928571428571428,0.8695652173913044,2024-03-14
112690,7,9330,8,3,5,1,4,0,2,True,2,0,,4,5,0.3861003861003861,0.3861003861003861,2022-07-08
71616,8075,2542,5,0,2,8,3,4,1,False,0,2,,6,5,0.029126213592232997,0.029126213592232997,2022-02-24
99775,2112,623,3,8,5,1,0,2,4,False,0,2,1,1,-1,0.576271186440678,0.576271186440678,2022-05-15
184463,6199,624,7,0,5,6,4,3,8,True,2,1,-3,1,2,0.425531914893617,0.4081632653061224,2023-04-02
322649,14689,15197,9,2,1,8,6,0,5,False,0,2,-1,0,1,0.0,1.0,2024-03-28
327204,14470,15073,2,1,6,5,0,9,8,True,2,1,-1,5,-6,0.5376344086021505,0.5208333333333334,2024-05-06
94309,120,8370,1,5,3,0,8,4,2,True,2,0,7,3,3,0.0,1.0,2022-04-29
181473,9507,8375,6,8,3,0,4,7,1,True,2,1,2,-4,-4,0.641025641025641,0.641025641025641,2023-05-24
184519,8185,624,4,8,6,0,3,1,7,False,0,2,7,4,9,0.646643109540636,0.6428571428571428,2023-05-22
85523,257,5448,0,2,3,4,8,1,5,True,2,0,,4,5,0.8474576271186441,0.8474576271186441,2022-04-14
270997,6368,6263,7,6,3,4,0,8,1,True,2,0,-2,4,-5,0.9259259259259258,0.9090909090909091,2023-09-11
173220,474,1184,3,4,7,5,6,8,0,True,2,1,3,-4,-1,0.7092198581560284,0.6134969325153374,2023-03-30
99477,8591,7313,3,8,5,2,4,1,0,True,2,1,0,1,2,0.5291005291005292,0.5291005291005292,2022-05-20
70058,5248,642,3,5,0,4,8,1,2,False,1,2,,-2,-3,0.5495495495495496,0.4011976047904191,2022-02-18
295213,4762,4567,0,5,1,2,9,8,6,False,0,2,-1,4,2,0.5652173913043478,0.504950495049505,2024-02-17
77810,6961,4894,5,8,4,1,0,2,3,True,2,0,,7,4,0.6622516556291391,0.6172839506172839,2022-03-23
287388,9547,7055,2,9,6,1,8,0,4,False,0,2,,5,5,0.41860465116279066,0.32432432432432434,2023-11-30
156881,7313,10421,5,3,2,1,0,7,4,True,2,0,,4,2,0.0,1.0,2022-11-12
106452,1110,878,2,4,3,0,1,8,5,True,2,1,-1,-2,2,0.6578947368421053,0.6578947368421053,2022-06-19
