,teamname,net_earnings
0,Sentinels,464.8715596330275
1,T1,205.5000000000001
2,Gen.G,408.5
3,100 Thieves,50.20866454689981
4,Cloud9,125.77272727272731
5,DetonatioN FocusMe,302.99683071581404
6,BBL Esports,343.15789473684214
7,Team Liquid,240.0640394088669
8,Paper Rex,-335.76349024110215
9,Rex Regum Qeon,258.62191805893275
10,Global Esports,145.96825396825398
11,Team Heretics,-411.9434668454276
12,NRG Esports,268.5
13,FUT Esports,154.6990161280279
14,Team Vitality,303.98360655737713
15,KRÜ Esports,23.078947368421126
16,Leviatán,-30.333333333333314
17,FURIA,689.0099268547542
18,FNATIC,363.179775280899
19,Natus Vincere,-219.7112042401085
20,Evil Geniuses,161.2350528061447
21,ZETA DIVISION,283.2883245786471
22,Team Secret,64.00000000000003
23,BLEED,384.14516129032245
24,LOUD,67.3820141211446
25,KOI,657.4999999999998
26,MIBR,742.8280542986423
27,DRX,-97.44444444444441
28,Talon Esports,330.6578947368422
29,Karmine Corp,-87.99999999999996
30,G2 Esports,-178.49999999999994
31,Gentle Mates,562.2500000000001
32,GIANTX,858.0307219662061
