match_id,t1,t2,winner,t1_ban1,t1_ban2,t2_ban1,t2_ban2,t1_pick,t2_pick,remaining,t1_mapwins,t2_mapwins,net_h2h,t1_past,t2_past,odds,date
219747,10400,11275,False,6,7,3,4,0,8,1,1,2,4,7,2,,2023-06-02
178627,7031,3136,True,6,7,4,8,3,5,0,2,0,-1,10,4,0.5988023952095809,2023-03-10
106446,4210,3107,False,3,5,8,0,2,1,4,0,2,,-1,4,0.7126436781609196,2022-06-16
237649,3531,12694,True,0,4,7,1,3,6,8,2,0,,7,4,0.6176605154796401,2023-07-13
167813,8925,8422,True,5,6,7,8,0,4,3,2,0,-2,0,-6,0.8264462809917356,2023-02-24
348728,12474,9621,True,1,8,9,2,5,6,0,2,1,,9,2,0.9663865546218486,2024-05-27
314930,13232,10448,False,8,2,0,1,6,5,9,1,2,,-6,2,0.4103202600816214,2024-04-19
156881,7313,10421,True,2,1,5,3,7,0,4,2,0,,4,2,,2022-11-12
297055,1033,8484,True,2,5,0,1,8,6,9,2,0,6,-2,3,0.4383194564073117,2024-02-14
183785,188,120,True,7,8,5,3,0,6,4,2,0,-4,-1,1,0.4014452027298274,2023-04-15
284212,13532,9052,True,9,6,2,8,1,4,0,2,0,1,-1,-2,0.7092198581560284,2023-11-05
213127,10598,10592,True,6,3,0,7,8,4,1,2,0,1,-2,-1,0.6475815240171012,2023-05-23
213199,4915,2304,True,4,8,3,1,7,0,6,2,0,0,2,-2,0.7671957671957672,2023-05-25
105831,6094,5443,False,0,4,3,8,2,1,5,0,2,-3,5,8,0.3902439024390244,2022-06-06
69918,918,797,True,3,8,5,1,4,2,0,2,0,2,7,0,,2022-02-13
89238,3351,879,True,1,3,4,8,0,2,5,2,0,1,8,-6,0.7092198581560284,2022-05-26
235032,2755,3531,False,7,3,0,1,6,8,4,0,2,-1,8,6,0.4904952799689642,2023-07-04
349213,15707,8044,False,0,1,9,6,8,2,5,0,2,,-6,-1,0.06542056074766356,2024-06-04
188309,8422,466,False,6,0,4,3,7,5,8,0,2,-6,-2,0,0.13793103448275856,2023-03-28
167357,6961,8877,True,5,6,0,4,7,8,3,2,0,,10,-1,0.7407407407407407,2023-02-17
99491,724,3322,True,1,8,2,0,4,3,5,2,0,8,1,-7,0.9803921568627451,2022-05-27
327268,12489,14467,False,9,2,1,9,5,6,8,1,2,-4,-1,-5,0.463744141163496,2024-04-14
296987,10417,11479,False,0,1,8,2,5,9,6,0,2,,6,0,0.09500409500409507,2024-02-10
247098,12010,1034,True,8,7,4,3,1,0,6,2,0,2,-4,2,0.2747005988023952,2023-08-13
189040,9507,8375,True,4,0,6,8,7,5,3,2,1,1,1,0,0.5813953488372093,2023-04-20
314894,10725,13188,False,9,5,0,2,6,8,1,1,2,3,5,3,0.5952936568808238,2024-03-19
299751,15054,13977,True,0,2,5,1,6,9,8,2,0,,4,4,,2024-02-14
349246,14318,13599,False,1,8,2,5,6,9,0,1,2,,-3,3,0.4722222222222222,2024-05-19
202337,4094,2362,True,7,8,1,3,6,4,0,2,0,2,-2,-2,0.7151979565772669,2023-04-27
232919,6675,367,True,1,8,7,3,6,0,4,2,0,,7,5,0.9574857980575407,2023-07-02
99494,4094,3322,True,2,0,5,3,4,8,1,2,0,2,-4,-7,0.8620689655172414,2022-06-02
108236,6961,7332,True,0,3,4,1,8,2,5,2,0,2,5,0,0.9900990099009901,2022-06-22
51280,6199,277,True,2,0,1,5,4,8,3,2,0,,-2,-5,0.7018321513002364,2021-12-05
107142,2291,1034,False,1,8,3,4,2,5,0,0,2,0,5,-3,0.6632996632996633,2022-06-17
179495,4094,11896,True,3,8,5,4,6,7,0,2,1,-2,1,3,,2023-03-10
108235,2406,4894,False,3,1,4,0,5,2,8,1,2,-4,2,0,0.5327102803738317,2022-06-21
196161,11001,10725,True,1,0,3,7,6,8,4,2,1,,5,4,0.6759534140214661,2023-05-16
179376,3108,3490,True,3,0,8,5,6,7,4,2,0,3,5,-5,0.7692307692307692,2023-03-09
235554,11328,731,False,6,7,4,8,1,3,0,0,2,,1,9,0.47146761867574055,2023-07-06
201250,8182,12391,True,3,5,8,4,7,0,6,2,0,,2,-3,0.37037037037037035,2023-04-27
222703,282,6387,False,0,1,4,8,7,3,6,1,2,,5,9,0.44260180578588537,2023-07-01
362341,364,367,False,0,5,6,2,9,1,8,1,2,0,10,3,0.47485763403889547,2024-06-18
193454,6793,277,True,5,8,6,4,0,3,7,2,0,-2,6,0,0.43981481481481477,2023-05-02
168054,10421,11947,False,8,0,5,6,4,7,3,0,2,,-4,4,,2023-02-26
299819,4330,11276,True,2,1,8,6,0,5,9,2,0,4,-6,-8,,2024-02-16
70080,8127,1615,True,3,8,2,5,0,1,4,2,0,,1,-2,0.7936507936507936,2022-03-13
118555,5455,4733,True,5,8,3,0,1,4,2,2,1,,1,2,0.6097560975609756,2022-07-18
186434,1120,4462,True,4,3,0,7,8,5,6,2,0,2,6,2,0.9141759893137418,2023-04-01
318882,4686,4567,True,1,2,9,5,8,6,0,2,0,2,4,7,0.6622807017543859,2024-03-30
341840,7243,11257,True,8,2,5,9,6,1,0,2,1,1,-2,1,0.6289308176100629,2024-05-07
300485,724,4094,True,0,5,1,2,6,9,8,2,1,2,6,-3,0.9527266128300518,2024-03-28
76240,8309,4210,True,8,0,3,5,2,4,1,2,1,,-4,-2,0.53475935828877,2022-03-25
168299,3945,11348,True,2,5,1,4,0,3,7,2,0,,1,9,0.29069767441860467,2023-02-10
169004,11058,11836,False,8,5,6,7,3,4,0,0,2,,4,-1,0.7963340122199593,2023-03-09
167843,4050,6665,True,0,5,6,8,7,3,4,2,0,3,3,2,,2023-02-18
111506,1120,731,True,3,8,2,4,1,0,5,2,0,6,5,-7,0.9900990099009901,2022-06-28
349894,283,104,True,5,9,8,1,2,0,6,2,1,0,0,1,0.3742474001094691,2024-06-12
112993,8130,7969,False,3,4,5,8,1,0,2,0,2,,4,-1,,2022-07-06
173221,7035,2059,False,4,0,7,5,3,8,6,0,2,-2,1,0,0.48582729070533953,2023-03-30
183500,7969,9545,True,6,8,0,4,5,3,7,2,1,3,-2,7,0.8130081300813008,2023-03-07
275692,4733,8904,False,8,0,9,4,6,1,2,0,2,-3,6,9,0.12662090007627758,2023-10-05
287380,6368,7511,True,2,6,4,8,9,1,0,2,0,,9,7,0.9531590413943354,2023-11-29
167353,188,624,True,5,8,0,4,6,7,3,2,0,,2,4,0.6211180124223602,2023-02-14
354063,4050,15713,True,4,1,8,6,9,0,5,2,1,,9,3,0.9571350064114306,2024-06-19
299594,283,6869,True,2,6,5,1,0,8,9,2,0,3,-3,-6,0.7846153846153846,2024-03-09
277941,8904,8484,True,8,6,9,2,4,1,0,2,0,1,4,3,0.970873786407767,2023-10-09
51268,3531,427,True,3,2,4,5,0,1,8,2,0,,6,5,0.38242176074875694,2021-12-06
154387,4150,6387,False,3,5,2,1,0,7,4,0,2,-1,0,7,0.26470588235294124,2022-10-28
107435,533,120,True,1,3,4,8,5,0,2,2,0,-3,5,1,0.5714285714285714,2022-06-18
294788,9559,14318,True,0,5,2,6,9,8,1,2,1,,3,2,0.4892344497607656,2024-02-10
350474,15745,13683,True,9,5,2,0,1,6,8,2,0,1,4,3,0.6375893437296947,2024-06-05
297412,2059,12694,True,5,8,1,2,9,6,0,2,0,,0,3,0.7121212121212122,2024-02-21
161251,10600,10603,True,1,4,2,5,7,0,3,2,0,,3,4,,2022-12-09
350771,13188,13232,True,9,1,5,8,2,6,0,2,1,1,5,0,0.9262435677530017,2024-05-30
49332,2533,4915,True,4,2,8,3,1,0,5,2,0,2,5,4,,2021-11-10
188354,497,623,True,6,8,5,3,7,4,0,2,1,1,6,-3,0.5484433225147254,2023-04-06
287382,13164,14278,False,2,0,8,1,9,4,6,0,2,,6,4,0.05194104960460105,2023-11-29
310632,9011,14476,False,1,2,8,0,6,9,5,0,2,1,3,2,0.3502109704641351,2024-03-10
188355,4050,10408,False,0,8,3,7,4,5,6,1,2,1,-2,0,0.6319499884984372,2023-04-06
84464,8240,3412,False,0,8,1,5,4,2,3,0,2,-2,10,9,,2022-04-09
235027,7969,6882,False,0,4,1,8,3,7,6,1,2,-2,5,3,0.24242424242424243,2023-07-03
357987,6530,15119,True,0,6,2,1,8,9,5,2,0,3,9,4,0.7974329647985767,2024-06-15
282933,2,10725,True,0,1,2,8,9,4,6,2,0,1,4,5,0.5340909090909092,2023-11-03
359592,6159,1471,False,9,8,6,2,1,5,0,1,2,3,-3,5,0.4631548647092688,2024-06-10
170973,11707,8099,True,0,8,6,3,5,4,7,2,0,1,2,-4,0.8695652173913044,2023-02-18
354040,15746,14422,False,1,6,5,2,9,8,0,1,2,,0,4,,2024-06-05
76450,1471,6193,True,2,0,8,5,3,4,1,2,0,3,7,3,,2022-03-10
148487,4396,4572,False,5,7,2,4,3,0,1,1,2,,3,-1,0.5215311004784688,2022-10-05
184049,7035,397,False,4,8,3,6,7,0,1,1,2,,-5,-2,0.34836135167260995,2023-05-04
165138,11451,5038,True,7,1,5,3,4,2,0,2,1,,3,2,,2023-01-10
235015,6538,5214,False,7,6,1,0,3,8,4,0,2,0,5,3,0.30039138943248533,2023-06-30
161232,3108,4210,False,5,7,4,1,2,0,3,1,2,,1,7,0.029126213592232997,2022-12-08
164060,6387,10295,True,6,3,0,7,4,8,5,2,1,,7,-6,0.9523809523809523,2023-02-23
314309,17,624,False,9,8,2,0,6,5,1,1,2,1,5,1,0.5247234138631746,2024-04-13
185986,10725,11058,False,7,6,3,4,8,5,0,1,2,-1,4,3,0.2856778407061584,2023-03-30
318916,474,1184,False,1,9,2,0,5,8,6,0,2,7,0,1,0.49619289340101524,2024-04-05
309135,14565,11060,True,6,2,1,9,5,8,0,2,1,2,4,4,0.5340909090909092,2024-03-13
167824,4050,8106,True,2,4,1,7,3,0,5,2,0,,2,1,0.9174311926605504,2023-01-21
213201,4915,1184,False,4,8,7,1,3,6,0,0,2,2,2,2,0.46761491481838635,2023-05-26
152991,10145,5214,False,0,4,2,7,3,1,5,0,2,,0,1,,2022-10-28
193904,11707,11060,True,4,6,3,0,8,7,5,2,0,2,-2,0,0.5136365988718108,2023-04-20
130620,1120,474,False,3,7,4,0,2,1,5,0,2,,8,2,0.504950495049505,2022-09-04
49328,4915,2533,False,5,4,8,1,2,0,3,0,2,,3,1,0.6352785145888594,2021-11-10
188030,6387,12477,True,6,4,0,3,5,7,8,2,0,,10,0,0.9349060725207514,2023-04-12
189054,6961,5248,True,7,8,4,6,0,3,1,2,1,1,5,5,0.7915154548867476,2023-05-26
297404,1184,14419,True,1,6,2,0,8,5,9,2,1,-2,2,3,0.6044999634743224,2024-02-22
202381,8303,10598,True,3,1,8,6,4,7,0,2,0,,-7,-1,0.38237750957744043,2023-05-04
167832,497,4210,False,4,2,5,7,0,3,1,0,2,2,6,5,0.23076923076923084,2023-02-03
235364,397,8877,False,7,3,0,8,4,6,1,1,2,-2,1,-7,0.5756540501663221,2023-07-19
299777,15058,7031,False,9,1,0,2,6,5,8,0,2,,8,7,0.3725718725718725,2024-03-06
69958,4050,623,True,5,4,5,1,0,3,2,2,0,11,11,1,0.9232471068754254,2022-02-24
156891,8369,799,False,3,7,0,5,1,2,4,0,2,-5,0,0,0.31506849315068497,2022-11-16
168991,6675,11329,True,2,4,5,3,7,1,0,2,0,,2,1,0.819672131147541,2023-02-08
106167,5448,516,True,2,1,3,0,8,4,5,2,0,,3,6,,2022-06-11
350486,10727,15074,False,2,8,1,0,5,9,6,0,2,4,1,-2,0.5867486338797814,2024-06-13
299591,2988,2934,False,1,5,2,6,9,8,0,1,2,-4,3,9,0.25084175084175087,2024-03-08
97748,4567,1184,True,3,8,2,4,5,1,0,2,1,0,8,6,0.6622516556291391,2022-06-14
51292,682,2112,True,1,8,4,5,3,0,2,2,1,,0,0,0.793353323338331,2021-12-09
70294,1916,4894,False,4,3,1,8,5,2,0,1,2,-2,1,-5,0.46519524617996605,2022-03-05
117858,8369,5455,False,4,8,2,0,3,1,5,0,2,0,8,0,,2022-07-15
175208,2755,9762,True,0,8,4,3,6,7,5,2,1,0,5,5,0.5780346820809249,2023-02-25
300697,10431,6035,True,6,8,2,1,9,5,0,2,1,-1,5,2,0.40346196394872125,2024-02-18
296798,623,14148,True,5,9,2,8,1,6,0,2,1,,-8,-5,0.6535947712418301,2024-02-04
204045,1146,8484,True,8,4,1,3,0,6,7,2,0,,-8,-6,0.3813437139561707,2023-05-10
123040,4210,4330,True,2,4,8,1,0,5,3,2,1,,-3,-1,0.7194244604316548,2022-08-03
188034,6387,879,True,3,8,5,7,0,6,4,2,0,4,11,-1,0.9433962264150942,2023-04-14
97460,294,283,True,8,0,3,4,1,5,2,2,0,0,1,2,,2022-05-15
48859,6493,6191,True,3,8,2,4,0,8,1,2,0,,4,-1,0.6535947712418301,2021-11-09
168286,11348,8099,True,1,2,5,0,4,3,7,2,0,,2,-4,0.8547008547008548,2023-02-03
314062,14752,14754,True,5,9,0,1,2,8,6,2,1,1,-1,-3,0.6854460093896714,2024-03-26
101863,8086,2542,False,0,8,5,1,2,3,4,1,2,-3,-2,-2,0.0990990990990992,2022-05-23
235562,12685,11328,False,3,7,4,1,8,6,0,1,2,,-4,-3,0.20150450117153784,2023-07-10
284228,11328,1119,True,1,2,8,0,6,9,4,2,0,,2,-2,0.9009009009009008,2023-11-08
294036,8946,876,False,2,9,6,8,1,4,0,0,2,0,3,-7,0.7173636508188902,2024-01-25
204050,4733,12254,False,6,1,7,3,4,8,0,1,2,0,0,1,0.49621528568896983,2023-05-15
280754,13164,13805,True,2,1,8,9,4,6,0,2,1,-1,7,8,,2023-10-27
165560,6132,4572,True,5,7,1,2,4,0,3,2,0,,-4,-8,0.36101083032490977,2023-01-28
108073,7055,3342,True,4,1,5,8,0,3,2,2,0,7,11,5,0.9009009009009008,2022-07-05
188556,6882,12478,True,8,7,3,5,4,0,6,2,0,,3,0,0.8849557522123894,2023-04-03
79074,257,474,False,1,3,2,0,8,5,4,1,2,0,4,1,0.5169082125603864,2022-03-22
102094,5448,104,True,0,2,8,3,1,4,5,2,1,,2,5,,2022-05-22
279102,11985,1837,False,0,2,9,6,8,4,1,0,2,2,4,9,0.5,2023-10-22
349121,14479,6882,False,5,0,1,2,9,6,8,0,2,1,-1,-1,0.41488451668092385,2024-05-18
354136,9427,361,True,6,5,9,2,8,1,0,2,0,-4,0,-7,0.7203565505804311,2024-06-04
348740,9621,6235,True,5,1,2,0,8,9,6,2,0,-3,1,-4,0.6248053565867331,2024-06-10
106913,7397,6199,False,5,3,1,8,4,2,0,1,2,,8,6,0.6296296296296297,2022-06-23
299356,14478,14479,False,2,8,9,6,5,1,0,0,2,,1,0,0.33333333333333337,2024-02-17
318924,12694,2593,False,9,0,1,5,6,2,8,0,2,,0,0,0.09902597402597407,2024-04-17
296298,8375,15052,True,6,9,5,1,2,0,8,2,1,2,5,3,0.7469342251950948,2024-03-29
112602,474,397,True,3,4,8,1,5,0,2,2,0,5,0,-3,0.8130081300813008,2022-08-08
296986,14467,6400,True,8,1,6,9,2,0,5,2,0,,2,-2,0.4132231404958678,2024-02-10
167602,5038,9347,False,5,1,2,0,3,4,7,1,2,,5,4,,2023-01-19
295195,4669,6132,False,1,5,9,2,6,0,8,1,2,5,-2,-1,0.6085164835164835,2024-01-27
111763,1208,8591,True,4,8,2,5,3,1,0,2,0,2,-1,1,0.8333333333333334,2022-07-08
277005,11201,13659,True,9,0,1,8,2,4,6,2,0,,10,6,,2023-10-04
99606,6389,878,True,3,0,8,2,5,1,4,2,0,,6,8,0.6097560975609756,2022-05-11
284429,7397,4210,False,4,8,0,2,6,1,9,0,2,0,1,1,0.3072866730584851,2023-11-11
49632,466,6389,True,5,8,2,3,1,0,4,2,0,-2,0,6,0.5306869369369369,2021-11-18
299585,283,2934,False,1,8,2,0,5,9,6,0,2,-2,5,9,0.11476694085389738,2024-02-16
213134,10598,8303,True,0,7,3,1,6,4,8,2,1,-2,-5,-6,0.5936595949855352,2023-05-25
348874,11002,15077,True,5,0,9,8,1,2,6,2,0,4,6,-4,0.9141759893137418,2024-05-16
189052,6961,2406,True,7,8,6,3,0,4,1,2,0,4,4,0,0.8405735678462951,2023-05-24
202354,367,361,True,6,1,7,8,4,0,3,2,1,6,9,-6,0.9345794392523364,2023-04-28
193905,12446,8182,True,7,5,8,3,6,4,0,2,0,,-1,2,0.6698028673835126,2023-04-20
300509,367,364,True,5,1,6,2,0,9,8,2,1,4,2,6,0.5883167220376523,2024-03-27
297057,8369,4733,True,9,2,1,6,5,8,0,2,1,-1,6,5,0.6265664160401003,2024-02-15
69008,6460,474,False,3,5,1,2,8,4,0,0,2,,6,0,0.15912945166760878,2022-03-06
185885,8904,5455,True,8,5,6,7,3,4,8,2,0,,-1,3,,2023-03-18
71014,8172,6316,True,2,1,3,0,5,4,8,2,0,,0,3,0.7633587786259541,2022-02-16
299586,11490,2934,False,1,6,5,2,8,0,9,0,2,-4,-2,9,0.05108832523835227,2024-03-02
349115,8030,8369,True,9,2,5,8,0,6,1,2,0,-4,2,8,0.3746498599439776,2024-05-18
168276,11707,11060,True,1,3,7,2,5,4,0,2,0,,1,-1,0.4716981132075471,2023-01-28
184474,14,17,False,7,8,5,3,0,4,6,0,2,3,-3,1,0.3167614961290924,2023-04-16
70293,4894,7391,False,4,3,0,2,1,5,8,1,2,,-2,4,0.5495495495495496,2022-02-27
329332,15072,15117,False,9,2,5,8,6,0,1,0,2,3,2,5,0.41488451668092385,2024-05-01
99718,1034,6675,True,2,5,3,0,4,1,8,2,1,,-2,-4,0.4504504504504504,2022-06-11
309137,8182,8086,True,6,9,2,8,0,1,5,2,1,4,-9,-5,0.40861447756305275,2024-03-14
150818,7055,8050,True,7,4,3,1,5,0,2,2,0,6,9,-2,0.9615384615384615,2022-10-15
167046,581,6946,True,5,3,8,0,6,4,7,2,0,-3,-6,-3,0.30864197530864196,2023-02-21
318883,4572,4686,False,6,8,2,0,9,5,1,0,2,-5,4,4,0.14768605832003479,2024-04-06
72347,5443,731,True,0,3,2,1,4,5,8,2,0,,1,0,,2022-02-22
297764,14636,8303,False,2,5,1,0,6,8,9,0,2,,-1,4,0.2700341005967604,2024-02-28
101747,4829,918,False,5,1,2,8,4,0,3,0,2,-3,6,1,0.04761904761904767,2022-05-19
274407,1120,11328,True,0,4,2,8,9,6,1,2,0,3,3,-2,0.8737789987789988,2023-09-28
297823,10592,8303,False,5,9,1,2,0,6,8,0,2,2,-4,4,0.13043478260869557,2024-03-13
350337,15742,361,True,5,2,9,8,6,1,0,2,0,,0,-3,,2024-05-21
99626,6199,7031,True,3,1,8,0,4,5,2,2,1,,8,-9,0.8620689655172414,2022-05-20
184491,6199,14,False,7,0,4,8,6,1,3,0,2,,-2,1,0.43684127733207484,2023-05-07
202346,4094,724,True,8,6,3,1,4,7,0,2,1,1,5,-5,0.8066614623991673,2023-05-10
297844,282,104,False,2,6,0,2,5,8,1,1,2,-4,4,9,0.4432515337423313,2024-02-10
104844,466,4325,True,3,5,1,4,2,8,0,2,0,3,2,0,0.8064516129032259,2022-06-12
221963,9078,7511,False,6,1,4,8,7,3,0,0,2,,-5,9,0.014754416618132427,2023-07-13
289495,1981,12794,True,1,0,8,9,4,6,2,2,0,1,-1,0,,2023-12-04
168486,5366,10700,True,3,4,8,0,5,6,7,2,0,,-1,-3,0.7692307692307692,2023-02-24
298833,11328,11981,True,6,8,1,5,0,2,9,2,0,4,3,8,0.6565917506243003,2024-03-01
212528,11001,10725,True,1,0,3,4,7,6,8,2,0,1,4,4,0.5357685682439964,2023-06-02
324701,14819,8369,False,5,1,9,8,6,2,0,0,2,-1,-8,0,0.06542056074766356,2024-04-03
300549,15120,2290,True,2,5,0,1,6,9,8,2,0,,0,-4,,2024-02-17
299657,15117,15074,True,5,6,1,2,9,8,0,2,0,,1,-1,0.8591445427728615,2024-04-03
209023,11707,12446,True,3,4,7,6,8,1,0,2,0,2,5,-1,0.6454030646235842,2023-05-17
112734,4462,1120,False,1,4,5,0,8,3,2,1,2,-1,-2,6,0.14529914529914523,2022-07-05
297408,4915,474,True,9,1,5,6,8,2,0,2,0,-1,3,4,0.6289556962025316,2024-02-23
314642,11058,2359,False,9,1,8,0,5,2,6,1,2,,2,1,0.15598290598290593,2024-04-24
349231,14478,15707,False,1,8,2,5,9,0,6,0,2,,5,-5,0.8376623376623377,2024-06-16
163007,4669,5308,False,4,2,3,0,7,1,5,1,2,,0,3,0.8257839721254355,2022-12-20
349215,4173,14478,False,9,0,2,5,8,1,6,0,2,2,-7,2,0.1933385376008327,2024-06-05
217615,8049,3531,False,4,1,7,0,6,3,8,1,2,-1,4,3,0.15482954545454547,2023-06-09
112742,5443,1120,False,3,5,4,0,1,2,8,0,2,-1,5,6,0.3006993006993006,2022-07-07
102092,294,104,False,4,0,8,2,1,3,5,1,2,-2,2,6,0.23664122137404586,2022-05-22
283121,4330,11293,True,4,0,2,9,6,1,8,2,0,,-1,4,0.8000512032770097,2023-10-30
299825,15016,11276,False,2,0,8,1,6,9,5,0,2,,5,-4,0.5562770562770563,2024-02-29
167846,497,7397,False,6,4,8,7,0,3,5,1,2,,2,-5,0.6932515337423313,2023-02-19
299775,10356,8375,False,9,6,2,0,5,8,1,0,2,,-9,5,0.08628170894526038,2024-03-03
350495,6946,15745,False,0,6,8,2,9,5,1,0,2,-2,-1,2,0.43625738423426286,2024-06-21
297406,4915,397,True,8,5,6,9,1,0,2,2,1,1,1,6,0.8300041328006613,2024-02-21
103717,6414,8240,False,1,2,3,8,0,4,5,0,2,,6,6,,2022-06-05
163013,4669,7559,True,4,5,3,1,2,0,7,2,1,,-3,1,0.7407407407407407,2022-12-21
71625,8182,2542,True,2,5,8,3,0,4,1,2,0,,2,6,0.320040899795501,2022-03-02
184371,4894,4958,True,0,8,6,4,7,5,3,2,0,-4,2,0,0.5989956958393113,2023-03-16
117864,8936,8484,True,2,8,4,0,1,3,5,2,0,,-1,3,0.6622516556291391,2022-07-17
51283,2593,188,True,0,4,2,1,8,5,3,2,1,,-2,6,0.45777591973244147,2021-12-01
49927,4036,6486,False,1,8,2,4,5,0,3,0,2,,2,-8,,2021-11-08
112610,4915,257,False,2,5,3,8,1,4,0,0,2,,0,-4,0.4708994708994708,2022-08-11
170379,11275,11276,True,3,0,7,2,5,1,4,2,0,,7,0,,2023-02-10
294049,8049,7243,True,8,5,2,9,0,1,6,2,1,4,9,-4,0.8931419457735248,2024-02-07
68702,637,5248,False,3,2,5,4,0,8,1,1,2,,9,9,,2022-02-05
99072,6946,7386,False,2,8,5,3,0,1,4,1,2,2,-2,6,0.2857142857142857,2022-05-21
247089,11328,14,False,8,4,3,7,1,6,0,0,2,,2,-5,0.3624106562703054,2023-08-10
167646,277,104,True,1,3,2,7,5,4,0,2,0,8,9,-3,0.9433962264150942,2023-02-04
