match_id,t1,t2,winner,t1_ban1,t1_ban2,t2_ban1,t2_ban2,t1_pick,t2_pick,remaining,t1_mapwins,t2_mapwins,net_h2h,t1_past,t2_past,odds,best_odds,worst_odds,date
64797,6387,7982,True,8,2,3,5,4,0,1,2,0,,10,4,,0,1,2022-02-11
101884,8182,2554,False,2,0,4,3,1,8,5,1,2,-2,5,-3,0.8007968127490039,0.8007968127490039,0.8007968127490039,2022-06-12
282932,10725,11058,True,0,8,6,2,4,1,9,2,0,1,5,-4,0.4834125430994316,0.5102040816326531,0.4566210045662101,2023-11-03
204436,1211,1837,False,8,7,6,0,3,1,4,1,2,-1,-1,5,0.3788819875776398,0.3788819875776398,0.3788819875776398,2023-05-16
212532,9353,11058,False,4,3,6,7,8,1,0,1,2,-2,1,-7,0.4661529994496423,0.5652173913043478,0.3670886075949368,2023-06-03
99711,5248,8127,True,5,2,3,4,1,8,0,2,1,,6,11,0.2824858757062147,0.2824858757062147,0.2824858757062147,2022-06-03
278904,1837,11981,True,4,0,9,1,2,6,8,2,0,2,0,0,0.7249802994483845,0.7407407407407407,0.7092198581560284,2023-10-11
156681,1184,4572,True,5,7,3,2,1,0,4,2,0,5,4,-1,0.9433962264150942,0.9433962264150942,0.9433962264150942,2022-11-21
101860,8185,2542,True,5,8,3,2,1,0,4,2,0,2,3,-2,0.7936507936507936,0.7936507936507936,0.7936507936507936,2022-05-21
282938,13188,11058,False,9,8,4,1,6,2,0,0,2,,2,-5,0.3670886075949368,0.3670886075949368,0.3670886075949368,2023-11-02
112741,908,6094,False,4,8,3,2,0,1,5,1,2,0,2,2,0.37106918238993714,0.37106918238993714,0.37106918238993714,2022-07-07
279103,731,11328,False,1,2,9,0,6,8,4,0,2,0,3,-2,0.317016317016317,0.33333333333333337,0.3006993006993006,2023-10-23
184479,14,878,True,8,0,6,5,3,4,7,2,0,,-3,-1,0.5449955449955449,0.5494505494505494,0.5405405405405405,2023-04-23
121461,1184,7969,True,3,8,5,2,1,0,4,2,0,,4,7,0.9433962264150942,0.9433962264150942,0.9433962264150942,2022-07-30
319773,1119,13790,False,0,6,9,1,2,5,8,0,2,,-7,-4,0.2063492063492064,0.2063492063492064,0.2063492063492064,2024-04-13
51291,474,188,True,8,5,3,4,1,0,2,2,0,,9,6,0.756019627981285,0.7874015748031495,0.7246376811594204,2021-12-08
185985,12041,11058,False,7,3,5,0,8,6,4,0,2,,2,3,0.4252114164904862,0.43181818181818177,0.41860465116279066,2023-03-29
285009,11328,804,True,8,0,1,4,2,6,9,2,0,,2,3,0.800820039720674,0.8264462809917356,0.7751937984496123,2023-11-16
167349,278,2304,False,3,0,8,6,5,4,7,0,2,,-2,2,0.18010752688172038,0.19354838709677413,0.16666666666666663,2023-02-13
220449,8185,1034,False,3,0,6,1,4,7,8,0,2,,-2,-1,0.30039138943248533,0.31506849315068497,0.2857142857142857,2023-06-18
97222,2348,17,False,4,2,5,3,0,8,1,0,2,-2,4,6,,0,1,2022-05-07
337413,2355,2359,False,1,2,8,0,5,6,9,1,2,0,2,5,0.2724867724867725,0.2857142857142857,0.2592592592592593,2024-05-10
184491,6199,14,False,7,0,4,8,6,1,3,0,2,,-2,1,0.43684127733207484,0.4871794871794871,0.38650306748466257,2023-05-07
99709,2291,1034,True,3,5,1,8,2,4,0,2,0,-2,4,6,0.6211180124223602,0.6211180124223602,0.6211180124223602,2022-05-29
72342,6094,908,False,0,8,3,2,4,1,5,0,2,,-2,3,,0,1,2022-02-21
102094,5448,104,True,8,3,0,2,4,1,5,2,1,,2,5,,0,1,2022-05-22
286642,2,624,True,1,0,6,8,2,9,4,2,1,,7,2,0.41992696922274386,0.4694835680751174,0.37037037037037035,2023-12-05
319790,13790,13576,False,1,5,2,8,0,6,9,0,2,,-2,-6,0.5599613152804642,0.574468085106383,0.5454545454545454,2024-05-03
220300,8185,1184,True,8,7,6,0,1,3,4,2,1,,-2,-1,0.7275132275132274,0.7407407407407407,0.7142857142857143,2023-06-13
94324,1615,1034,False,8,2,0,5,3,1,4,0,2,-2,4,4,0.3975903614457831,0.3975903614457831,0.3975903614457831,2022-04-30
159495,6094,4462,True,4,2,1,7,5,3,0,2,0,2,-1,1,0.341296928327645,0.341296928327645,0.341296928327645,2022-12-19
307572,7386,2,False,2,5,1,6,8,0,9,0,2,-2,3,4,0.20554854981084492,0.23076923076923084,0.180327868852459,2024-02-26
295606,188,7386,True,0,2,5,9,1,8,6,2,1,2,-7,4,0.8737789987789988,0.8928571428571428,0.8547008547008548,2024-02-16
106919,6387,7397,False,1,2,8,0,4,3,5,1,2,-1,5,6,0.2753623188405796,0.2753623188405796,0.2753623188405796,2022-06-25
89223,624,8971,True,2,1,3,8,5,0,4,2,0,,6,3,0.9900990099009901,0.9900990099009901,0.9900990099009901,2022-05-19
109906,8877,8067,True,4,1,5,8,2,3,0,2,0,2,-1,-3,0.8333333333333334,0.8333333333333334,0.8333333333333334,2022-06-30
184043,397,1001,True,0,8,3,7,6,4,5,2,1,,-5,-5,0.5993396497272466,0.6172839506172839,0.5813953488372093,2023-04-27
98605,8734,2359,False,1,8,4,3,2,5,0,0,2,,-1,0,0.09090909090909094,0.09090909090909094,0.09090909090909094,2022-05-28
184481,5448,8304,False,6,3,5,7,4,0,8,0,2,-2,0,-8,0.6973984481971702,0.7142857142857143,0.6805111821086263,2023-04-24
204444,1120,11328,True,4,8,6,0,3,1,7,2,0,1,3,2,0.7462686567164178,0.7462686567164178,0.7462686567164178,2023-05-19
314646,188,2406,True,2,8,9,5,6,0,1,2,1,1,-1,-9,0.8850250626566416,0.8928571428571428,0.8771929824561404,2024-04-28
314313,17,278,True,9,0,1,5,6,8,2,2,0,1,3,-5,0.9271978021978021,0.9615384615384615,0.8928571428571428,2024-04-15
342356,12685,1119,True,5,1,0,8,9,2,6,2,0,1,1,0,0.8338544923910778,0.8547008547008548,0.8130081300813008,2024-05-08
184060,7035,474,False,0,4,1,7,3,8,6,1,2,,-5,0,0.0908339532192744,0.0990990990990992,0.0825688073394496,2023-05-19
314653,188,7386,True,2,0,6,1,5,9,8,2,0,1,2,-7,0.8265027322404372,0.8333333333333334,0.819672131147541,2024-05-05
312768,2,1001,True,2,5,0,8,6,9,1,2,1,,4,3,0.6964526701368806,0.7518796992481203,0.641025641025641,2024-03-15
85526,6961,474,True,1,3,8,2,5,4,0,2,1,,12,1,0.5003065603923973,0.5714285714285714,0.4291845493562232,2022-04-14
312797,1120,17,False,1,9,6,0,5,8,2,1,2,,4,8,0.35459693537641573,0.3670886075949368,0.3421052631578947,2024-03-16
