match_id,t1,t2,date,net_h2h,t1_past,t2_past,t1_odds,t2_odds
314346,8304,878,2024-06-22,-1.0,1,0,1.94,2.06
314342,14,17,2024-06-16,-1.0,-7,7,3.8,1.25
314343,624,8304,2024-06-16,2.0,3,1,1.1,6.32
314344,878,278,2024-06-17,2.0,0,-4,1.32,3.32
314347,624,8185,2024-06-22,8.0,3,2,1.48,3.64
314345,6199,918,2024-06-17,2.0,-2,-2,1.24,3.84
353154,397,2593,2024-06-19,-3.0,1,-1,3.78,1.28
353155,1001,4915,2024-06-19,3.0,5,0,1.66,2.14
353153,1184,7035,2024-06-18,2.0,0,-6,1.2,4.17
353157,14419,12694,2024-06-20,,-3,-2,1.78,2.06
353156,2059,474,2024-06-20,-1.0,0,-1,2.8,1.53
353179,2406,120,2024-06-23,-1.0,-8,2,6.2,1.13
353181,11058,188,2024-06-24,2.0,-2,0,1.4,2.8
353177,7386,2359,2024-06-22,-5.0,-10,0,5.0,1.19
353180,6961,5248,2024-06-23,0.0,-1,-3,1.26,3.8
353178,2,1034,2024-06-22,1.0,-1,-1,1.6,2.24
314364,14,6387,2024-07-08,2.0,-8,-6,1.0,1.0
314354,918,14,2024-06-30,-1.0,1,-8,4.14,1.21
314356,624,278,2024-07-01,3.0,3,-4,1.05,8.41
314363,624,5448,2024-07-07,0.0,3,-4,1.0,1.0
314357,8185,8304,2024-07-01,8.0,-4,1,1.72,2.51
314355,6387,17,2024-06-30,,-6,7,10.44,1.03
314360,8185,278,2024-07-06,5.0,-4,-4,1.0,1.0
314361,5448,8304,2024-07-06,-4.0,-4,1,1.0,1.0
314362,17,6199,2024-07-07,0.0,7,1,1.0,1.0
314359,17,918,2024-07-05,-2.0,7,1,1.0,1.0
314352,8304,278,2024-06-29,4.0,1,-4,1.11,6.3
314358,624,878,2024-07-05,2.0,3,5,1.0,1.0
314353,5448,878,2024-06-29,2.0,-4,5,3.32,1.3
353161,1001,1184,2024-06-26,3.0,8,0,1.34,3.3
353164,7035,12694,2024-06-28,,-1,-5,2.01,1.74
353166,1001,14419,2024-07-03,1.0,8,-1,1.0,1.0
353167,1184,12694,2024-07-03,,0,-5,1.0,1.0
353169,474,8877,2024-07-04,2.0,-2,-2,1.0,1.0
353163,4915,14419,2024-06-27,-1.0,-6,-1,1.44,2.7
353172,1184,14419,2024-07-09,-1.0,0,-1,1.0,1.0
353168,7035,4915,2024-07-04,1.0,-1,-6,1.0,1.0
353165,2593,8877,2024-06-28,2.0,2,-2,1.88,2.02
353171,1001,12694,2024-07-05,,8,-5,1.0,1.0
353170,397,2059,2024-07-05,2.0,-6,1,1.0,1.0
353160,2593,2059,2024-06-26,6.0,2,1,1.62,2.4
353162,397,474,2024-06-27,-8.0,-6,-2,2.05,1.76
353190,7386,120,2024-07-03,1.0,-10,-3,1.0,1.0
353182,5248,2406,2024-06-29,-1.0,0,-5,1.44,2.7
353193,6961,2359,2024-07-06,5.0,-1,1,1.0,1.0
353186,1034,11058,2024-07-01,,-5,-2,2.41,1.53
353189,6961,2406,2024-07-02,6.0,-1,-5,1.0,1.0
353191,1034,2355,2024-07-03,2.0,-5,-1,1.0,1.0
353185,2359,120,2024-06-30,-1.0,1,-3,1.95,1.8
353183,2,2355,2024-06-29,1.0,3,-1,1.42,2.73
353192,11058,2355,2024-07-06,5.0,-2,-1,1.0,1.0
353188,5248,2359,2024-07-02,1.0,0,1,1.0,1.0
353195,1034,188,2024-07-07,-1.0,-5,-2,1.0,1.0
353187,2,188,2024-07-01,-1.0,3,-2,1.0,1.0
353194,7386,2406,2024-07-07,0.0,-10,-5,1.0,1.0
353184,6961,7386,2024-06-30,1.0,-1,-10,1.17,4.8
