match_id,t1,t2,t1_ban1,t1_ban2,t2_ban1,t2_ban2,t1_pick,t2_pick,remaining,winner,t1_mapwins,t2_mapwins,net_h2h,t1_past,t2_past,best_odds,worst_odds,date
310540,15119,6530,2,5,0,9,8,1,6,False,0,2,,8,7,0.41860465116279066,0.41860465116279066,2024-03-07
296792,4210,7397,0,5,2,6,1,9,8,True,2,1,3,3,-1,0.7936507936507936,0.7352941176470588,2024-01-28
183810,2359,2355,3,1,6,0,4,8,7,True,2,0,1,0,-6,0.8130081300813008,0.7936507936507936,2023-05-07
168481,9507,3136,8,3,5,0,6,4,7,True,2,1,,0,2,0.23640661938534277,0.23640661938534277,2023-02-18
206806,11836,11602,7,8,4,0,3,1,6,True,2,0,,-1,-5,0.7462686567164178,0.7246376811594204,2023-06-04
295204,4762,4396,5,6,0,2,9,1,8,True,2,0,-1,1,-4,0.6993006993006994,0.641025641025641,2024-02-05
189046,8375,5366,1,7,6,8,0,3,4,False,0,2,-1,-1,3,0.24812030075187974,0.19999999999999996,2023-05-03
188320,8925,466,6,3,8,0,7,4,5,True,2,0,-5,-1,1,0.26666666666666666,0.2631578947368421,2023-04-04
294061,8049,8946,2,1,8,0,9,5,6,True,2,1,1,9,3,0.7575757575757576,0.7246376811594204,2024-03-06
186044,7269,4094,8,0,7,4,3,6,5,True,2,0,2,4,2,0.6024096385542169,0.49504950495049505,2023-03-25
299787,15052,13977,2,5,6,1,9,0,8,False,0,2,-2,-2,-3,0.5327102803738317,0.47916666666666663,2024-03-11
169007,337,10725,5,0,3,6,8,4,7,False,0,2,,-4,-3,0.6875,0.6875,2023-03-10
193269,11480,12373,0,4,6,8,7,5,3,False,0,2,,-7,3,0.21259842519685046,0.12280701754385959,2023-04-21
183775,2355,2406,5,7,6,3,8,0,4,False,0,2,4,-2,0,0.375,0.3006993006993006,2023-04-01
188372,4210,5426,6,7,1,3,0,8,4,True,2,0,,8,-9,0.9900990099009901,0.9900990099009901,2023-05-05
318938,2059,7035,6,9,1,0,8,2,5,False,1,2,6,-1,-9,0.736842105263158,0.6987951807228916,2024-05-02
294797,12514,15010,2,8,6,1,0,5,9,True,2,0,,-4,-3,0.6802721088435374,0.6060606060606061,2024-03-02
296798,623,14148,5,9,2,8,1,6,0,True,2,1,,-8,-5,0.6535947712418301,0.6535947712418301,2024-02-04
318928,474,14419,2,1,8,9,5,6,0,True,2,1,1,-4,-3,0.7042253521126761,0.6756756756756757,2024-04-19
193458,6793,283,3,6,5,8,7,4,0,True,2,0,0,6,-6,0.9090909090909091,0.8849557522123894,2023-05-03
279078,6035,10634,9,2,6,8,1,0,4,True,2,0,-1,3,-7,0.6172839506172839,0.591715976331361,2023-10-14
284660,4050,8304,9,1,8,0,4,2,6,False,1,2,1,3,3,0.5,0.4565217391304348,2023-11-26
310586,14278,13316,8,6,1,2,9,5,0,True,2,0,,-4,2,0.0,1.0,2024-03-05
179494,7269,4094,5,6,4,7,3,0,8,False,0,2,4,-5,-3,0.0,1.0,2023-03-01
300505,364,367,5,8,6,1,0,2,9,True,2,0,-7,2,5,0.3861003861003861,0.35211267605633806,2024-03-12
179446,3437,8925,5,3,7,8,0,4,6,False,0,2,-2,5,7,0.5798319327731092,0.5652173913043478,2023-03-10
300511,361,14941,8,1,2,9,0,6,5,True,2,0,2,2,-3,0.4926108374384237,0.47619047619047616,2024-03-27
314902,10725,14822,2,9,5,1,0,8,6,True,2,0,,3,3,0.8928571428571428,0.8474576271186441,2024-03-28
213199,4915,2304,3,1,4,8,0,7,6,True,2,0,0,2,-2,0.7936507936507936,0.7407407407407407,2023-05-25
247088,5248,1184,3,8,4,6,1,7,0,True,2,0,2,1,-3,0.7575757575757576,0.7518796992481203,2023-08-08
