,match_id,t1,t2,winner,t1_ban1,t1_ban2,t2_ban1,t2_ban2,t1_pick,t2_pick,remaining,t1_mapwins,t2_mapwins,net_h2h,t1_past,t2_past,odds,best_odds,worst_odds,date,t1_elo,t2_elo,elo_diff
155,47182,4616,3531,False,2,1,4,8,5,3,0,0,2,,6,2,0.0654205607476635,0.0654205607476635,0.0654205607476635,2021-10-26,1500.0,1500.0,0.0
1330,47184,4616,2304,True,8,2,4,5,0,1,3,2,1,2.0,3,0,0.4470508582579952,0.4739336492890995,0.4201680672268907,2021-10-29,1484.0,1500.0,-16.0
1334,48858,6312,4616,True,8,5,3,1,4,2,0,2,0,-1.0,1,1,,0.0,1.0,2021-11-08,1500.0,1500.736306793522,-0.7363067935220897
1078,48860,4616,6493,True,4,3,8,1,0,2,5,2,0,,-3,4,,0.0,1.0,2021-11-09,1484.7023986633528,1500.0,-15.297601336647176
1257,49328,4915,2533,False,8,1,5,4,0,2,3,0,2,,3,1,0.6352785145888594,0.6551724137931034,0.6153846153846154,2021-11-10,1500.0,1500.0,0.0
136,49332,2533,4915,True,8,3,4,2,0,1,5,2,0,2.0,5,4,,0.0,1.0,2021-11-10,1516.0,1484.0,32.0
1415,49330,2499,4915,False,1,2,8,5,3,4,0,1,2,-2.0,3,2,,0.0,1.0,2021-11-10,1500.0,1469.4695015289756,30.53049847102443
495,49486,1034,4940,False,4,3,1,8,0,5,2,0,2,,8,5,0.6178816816117386,0.6389891696750902,0.596774193548387,2021-11-14,1500.0,1500.0,0.0
588,49631,1919,6387,False,1,2,5,8,4,0,3,0,2,-2.0,2,2,0.3610158419075617,0.3630573248407643,0.358974358974359,2021-11-18,1500.0,1500.0,0.0
240,50145,5391,4616,False,4,0,8,1,5,2,3,1,2,-1.0,6,1,0.3901532054142496,0.3975903614457831,0.3827160493827161,2021-11-19,1500.0,1501.4064243463295,-1.4064243463294588
225,49634,4150,6387,True,5,2,3,1,0,4,8,2,1,-2.0,2,6,0.6172839506172839,0.6172839506172839,0.6172839506172839,2021-11-19,1500.0,1516.0,-16.0
1441,49633,623,624,False,3,2,5,4,1,0,8,1,2,,-2,8,0.0759666155680462,0.1228070175438595,0.0291262135922329,2021-11-19,1500.0,1500.0,0.0
1452,49635,466,624,True,2,8,3,4,0,5,1,2,0,2.0,2,9,0.2793296089385474,0.2793296089385474,0.2793296089385474,2021-11-19,1500.0,1516.0,-16.0
725,50147,4616,6312,True,8,2,3,1,0,4,5,2,0,-1.0,1,2,0.3636363636363636,0.3636363636363636,0.3636363636363636,2021-11-20,1517.3416564654146,1516.0339081301693,1.3077483352453783
586,50800,10094,4915,False,0,8,4,1,5,3,2,0,2,0.0,4,3,,0.0,1.0,2021-11-21,1500.0,1486.8718751773815,13.128124822618474
666,51283,2593,188,True,0,4,2,1,8,5,3,2,1,,-2,6,0.4577759197324414,0.4807692307692307,0.4347826086956522,2021-12-01,1500.0,1500.0,0.0
1047,51282,198,4050,True,0,8,3,1,2,4,5,2,0,,7,7,0.87492391965916,0.9433962264150942,0.8064516129032259,2021-12-01,1500.0,1500.0,0.0
704,51272,2355,474,False,2,5,3,1,4,0,8,0,2,-2.0,2,8,0.0778514363420024,0.0990990990990992,0.0566037735849057,2021-12-02,1500.0,1500.0,0.0
369,51273,2,2406,True,5,8,1,3,2,0,4,2,1,,0,7,0.9709653092006032,0.9803921568627452,0.9615384615384616,2021-12-02,1500.0,1500.0,0.0
455,51277,682,6199,True,0,8,4,3,5,2,1,2,1,,2,-2,0.9804863981543784,0.99009900990099,0.970873786407767,2021-12-02,1500.0,1500.0,0.0
1125,51284,198,2593,False,2,2,0,1,5,4,3,1,2,,7,0,0.525682814431831,0.5391705069124424,0.5121951219512195,2021-12-03,1516.0,1516.0,0.0
86,51267,427,2112,True,1,8,3,5,2,0,4,2,0,,5,-1,0.9662061239731142,0.970873786407767,0.9615384615384616,2021-12-03,1500.0,1500.0,0.0
970,51274,474,2,True,5,0,3,4,1,2,8,2,1,,9,0,0.54749970163504,0.5847953216374269,0.5102040816326531,2021-12-04,1516.0,1516.0,0.0
252,51280,6199,277,True,1,5,2,0,8,4,3,2,0,,-2,-5,0.7018321513002364,0.7092198581560284,0.6944444444444444,2021-12-05,1484.0,1500.0,-16.0
297,51266,3531,4894,True,0,3,4,8,5,1,2,2,1,,6,3,0.8698283034566221,0.8849557522123894,0.8547008547008548,2021-12-05,1516.0,1500.0,16.0
1194,51275,2355,2406,True,5,2,1,8,3,0,4,2,1,,2,7,0.5349462365591398,0.6666666666666666,0.4032258064516129,2021-12-05,1484.0,1484.0,0.0
