match_id,t1,t2,t1_ban1,t1_ban2,t2_ban1,t2_ban2,t1_pick,t2_pick,remaining,t1_mapwins,t2_mapwins,net_h2h,t1_past,t2_past,date
188030,6387,12477,6,4,0,3,5,7,8,2,0,,10.0,0.0,2023-04-12
296737,14,5448,5,1,2,8,6,0,9,2,1,2.0,2.0,2.0,2024-02-19
289447,17,4733,1,2,9,8,0,6,4,2,1,,-4.0,0.0,2023-12-14
183944,2059,1184,3,8,7,0,6,4,5,0,2,1.0,0.0,0.0,2023-04-05
237269,5448,878,6,3,1,7,4,8,0,2,1,1.0,-5.0,2.0,2023-07-20
247090,1184,14,3,0,8,6,7,1,4,2,0,2.0,-2.0,-2.0,2023-08-12
314304,14,624,5,8,2,0,6,1,9,0,2,-8.0,0.0,0.0,2024-04-07
183948,7035,2304,3,4,8,7,6,0,5,0,2,-1.0,-3.0,-3.0,2023-04-07
318934,2059,14419,0,8,1,5,2,6,9,2,1,-1.0,0.0,-6.0,2024-04-26
314301,918,5448,2,8,1,6,9,5,0,1,2,-5.0,-4.0,-1.0,2024-04-06
314322,17,5448,9,1,2,5,0,8,6,2,0,-1.0,1.0,-3.0,2024-04-22
282938,13188,11058,4,1,9,8,2,6,0,0,2,,2.0,-5.0,2023-11-02
184478,17,8185,6,8,5,0,3,4,7,1,2,-1.0,5.0,7.0,2023-04-22
314320,6199,624,1,6,2,0,5,9,8,2,0,-2.0,-1.0,1.0,2024-04-21
295605,1034,2406,9,6,1,5,2,0,8,2,0,3.0,-2.0,-2.0,2024-02-16
295611,2359,120,6,0,2,9,8,1,5,2,1,-1.0,6.0,-5.0,2024-02-17
314327,14,5448,5,0,2,8,6,1,9,2,1,3.0,-4.0,-3.0,2024-04-28
167374,4915,2359,8,6,4,5,0,3,7,2,0,,8.0,9.0,2023-02-27
220845,6387,466,8,0,3,1,7,6,4,2,1,3.0,5.0,3.0,2023-07-08
318933,397,4915,5,6,2,1,0,9,8,2,1,-2.0,-1.0,4.0,2024-04-25
220444,6961,5248,1,4,7,8,3,0,6,0,2,2.0,6.0,3.0,2023-06-15
184517,14,5448,8,0,7,6,1,4,3,2,1,1.0,0.0,-3.0,2023-05-21
