match_id,t1,t2,date,0_in_pool,1_in_pool,2_in_pool,3_in_pool,4_in_pool,5_in_pool,6_in_pool,7_in_pool,8_in_pool,9_in_pool,team,action,map
297046,8484,13368,2024-02-09,1,1,1,0,0,1,1,0,1,1,8484,ban,9
297046,8484,13368,2024-02-09,1,1,1,0,0,1,1,0,1,0,13368,ban,8
297046,8484,13368,2024-02-09,1,1,1,0,0,1,1,0,0,0,8484,pick,6
297046,8484,13368,2024-02-09,1,1,1,0,0,1,0,0,0,0,13368,pick,1
297046,8484,13368,2024-02-09,1,0,1,0,0,1,0,0,0,0,8484,ban,2
297046,8484,13368,2024-02-09,1,0,0,0,0,1,0,0,0,0,13368,ban,5
297046,8484,13368,2024-02-09,1,0,0,0,0,0,0,0,0,0,0,remaining,0
288467,13368,13587,2023-12-01,1,1,1,0,1,0,1,0,1,1,13368,ban,9
288467,13368,13587,2023-12-01,1,1,1,0,1,0,1,0,1,0,13587,ban,1
288467,13368,13587,2023-12-01,1,0,1,0,1,0,1,0,1,0,13368,pick,6
288467,13368,13587,2023-12-01,1,0,1,0,1,0,0,0,1,0,13587,pick,4
288467,13368,13587,2023-12-01,1,0,1,0,0,0,0,0,1,0,13368,ban,0
288467,13368,13587,2023-12-01,0,0,1,0,0,0,0,0,1,0,13587,ban,2
288467,13368,13587,2023-12-01,0,0,0,0,0,0,0,0,1,0,0,remaining,8
299354,8826,4173,2024-02-17,1,1,1,0,0,1,1,0,1,1,8826,ban,0
299354,8826,4173,2024-02-17,0,1,1,0,0,1,1,0,1,1,4173,ban,9
299354,8826,4173,2024-02-17,0,1,1,0,0,1,1,0,1,0,8826,pick,8
299354,8826,4173,2024-02-17,0,1,1,0,0,1,1,0,0,0,4173,pick,6
299354,8826,4173,2024-02-17,0,1,1,0,0,1,0,0,0,0,8826,ban,2
299354,8826,4173,2024-02-17,0,1,0,0,0,1,0,0,0,0,4173,ban,1
299354,8826,4173,2024-02-17,0,0,0,0,0,1,0,0,0,0,0,remaining,5
279040,6538,8258,2023-10-11,1,1,1,0,1,0,1,0,1,1,6538,ban,1
279040,6538,8258,2023-10-11,1,0,1,0,1,0,1,0,1,1,8258,ban,9
279040,6538,8258,2023-10-11,1,0,1,0,1,0,1,0,1,0,6538,pick,2
279040,6538,8258,2023-10-11,1,0,0,0,1,0,1,0,1,0,8258,pick,8
279040,6538,8258,2023-10-11,1,0,0,0,1,0,1,0,0,0,6538,ban,6
279040,6538,8258,2023-10-11,1,0,0,0,1,0,0,0,0,0,8258,ban,4
279040,6538,8258,2023-10-11,1,0,0,0,0,0,0,0,0,0,0,remaining,0
179378,10597,3107,2023-03-10,1,0,0,1,1,1,1,1,1,0,10597,ban,0
179378,10597,3107,2023-03-10,0,0,0,1,1,1,1,1,1,0,3107,ban,3
179378,10597,3107,2023-03-10,0,0,0,0,1,1,1,1,1,0,10597,pick,6
179378,10597,3107,2023-03-10,0,0,0,0,1,1,0,1,1,0,3107,pick,4
179378,10597,3107,2023-03-10,0,0,0,0,0,1,0,1,1,0,10597,ban,5
179378,10597,3107,2023-03-10,0,0,0,0,0,0,0,1,1,0,3107,ban,8
179378,10597,3107,2023-03-10,0,0,0,0,0,0,0,1,0,0,0,remaining,7
188030,6387,12477,2023-04-12,1,0,0,1,1,1,1,1,1,0,6387,ban,0
188030,6387,12477,2023-04-12,0,0,0,1,1,1,1,1,1,0,12477,ban,6
188030,6387,12477,2023-04-12,0,0,0,1,1,1,0,1,1,0,6387,pick,7
188030,6387,12477,2023-04-12,0,0,0,1,1,1,0,0,1,0,12477,pick,5
188030,6387,12477,2023-04-12,0,0,0,1,1,0,0,0,1,0,6387,ban,3
188030,6387,12477,2023-04-12,0,0,0,0,1,0,0,0,1,0,12477,ban,4
188030,6387,12477,2023-04-12,0,0,0,0,0,0,0,0,1,0,0,remaining,8
296295,15058,15065,2024-03-28,1,1,1,0,0,1,1,0,1,1,15058,ban,1
296295,15058,15065,2024-03-28,1,0,1,0,0,1,1,0,1,1,15065,ban,5
296295,15058,15065,2024-03-28,1,0,1,0,0,0,1,0,1,1,15058,pick,2
296295,15058,15065,2024-03-28,1,0,0,0,0,0,1,0,1,1,15065,pick,8
296295,15058,15065,2024-03-28,1,0,0,0,0,0,1,0,0,1,15058,ban,9
296295,15058,15065,2024-03-28,1,0,0,0,0,0,1,0,0,0,15065,ban,0
